Block,Cage,Day,Treatment,Wingless,Winged,Aphids,Mummies,ProportionParasitized
2,3,1,P,51,0,51,16,0.31372549
2,4,1,P,56,0,56,0,0
2,5,1,P,58,0,58,14,0.24137931
2,7,1,P_LBO,47,0,47,11,0.234042553
2,8,1,P_LBO,45,0,45,15,0.333333333
2,9,1,P_LBO,34,0,34,11,0.323529412
2,10,1,P_LBO,25,0,25,10,0.4
2,11,1,P_LBL,29,0,29,0,0
2,12,1,P_LBL,48,0,48,20,0.416666667
2,14,1,P_LBL,40,0,40,19,0.475
3,10,1,P,25,0,25,11,0.44
3,12,1,P,25,1,26,16,0.615384615
3,13,1,P,24,0,24,20,0.833333333
3,14,1,P,28,1,29,16,0.551724138
3,15,1,P,38,0,38,3,0.078947368
3,17,1,P_LBO,34,2,36,3,0.083333333
3,18,1,P_LBO,33,0,33,10,0.303030303
3,19,1,P_LBO,27,0,27,24,0.888888889
3,21,1,P_LBL,10,1,11,7,0.636363636
3,23,1,P_LBL,20,0,20,13,0.65
3,24,1,P_LBL,10,1,11,11,1
3,25,1,P_LBL,24,0,24,13,0.541666667
3,26,1,P_LBL,14,0,14,3,0.214285714
4,12,1,P,19,1,20,20,1
4,13,1,P,41,0,41,24,0.585365854
4,15,1,P,23,1,24,10,0.416666667
4,16,1,P_LBO,14,0,14,9,0.642857143
4,17,1,P_LBO,20,1,21,21,1
4,19,1,P_LBO,30,1,31,26,0.838709677
4,21,1,P_LBL,32,0,32,17,0.53125
4,22,1,P_LBL,5,0,5,5,1
4,23,1,P_LBL,1,0,1,0,0
4,24,1,P_LBL,38,0,38,27,0.710526316
4,25,1,P_LBL,56,0,56,30,0.535714
